blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_10_abb07,0,233,23.3,24,2.359378449224852
2022_06_10_abb07,10,247,24.7,25,0.8232726023485646
2022_06_10_abb07,20,246,24.6,25,1.9550504398153574
2022_06_10_abb07,30,234,23.4,23.5,2.1705094128132942
2022_06_10_abb07,40,224,22.4,22,2.796823595120404
2022_06_10_abb07,50,208,20.8,20.5,3.4896672875473067
2022_06_10_abb07,60,178,17.8,17,4.022160834399561
2022_06_10_abb07,70,65,6.5,1,8.329999333066533
2022_06_10_abb07,80,114,11.4,13.5,6.552353266829661
2022_06_10_abb07,90,15,1.5,0,2.9533408577782247
