blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_06_16_abb10,lick_03,10740,10431,1,spout03,1,309,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_03,10999,10431,1,spout03,1,568,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_03,11258,10431,1,spout03,1,827,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_03,11598,10431,1,spout03,1,1167,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_03,11824,10431,1,spout03,1,1393,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_03,12066,10431,1,spout03,1,1635,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb10,lick_02,25388,25016,2,spout02,1,372,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,25627,25016,2,spout02,1,611,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,25971,25016,2,spout02,1,955,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,26212,25016,2,spout02,1,1196,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,26362,25016,2,spout02,1,1346,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,26463,25016,2,spout02,1,1447,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,26695,25016,2,spout02,1,1679,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,26935,25016,2,spout02,1,1919,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27190,25016,2,spout02,1,2174,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27333,25016,2,spout02,1,2317,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27453,25016,2,spout02,1,2437,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27588,25016,2,spout02,1,2572,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27724,25016,2,spout02,1,2708,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_02,27836,25016,2,spout02,1,2820,abb,2,6/16/2022,nacl050,nacl,0.5
2022_06_16_abb10,lick_04,40253,40056,3,spout04,1,197,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb10,lick_04,41023,40056,3,spout04,1,967,abb,2,6/16/2022,nacl100,nacl,1
