blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_08_abb07,0,218,21.8,22.5,1.9888578520235065
2022_06_08_abb07,10,216,21.6,23,3.238655413730965
2022_06_08_abb07,20,226,22.6,23,1.9550504398153574
2022_06_08_abb07,30,175,17.5,18,2.8771127502720115
2022_06_08_abb07,40,139,13.9,15.5,4.886489310105751
2022_06_08_abb07,50,105,10.5,12,5.54276304943863
2022_06_08_abb07,60,70,7,6,6.666666666666667
2022_06_08_abb07,70,65,6.5,3,7.337120234351713
2022_06_08_abb07,80,94,9.4,10.5,7.834397090892048
2022_06_08_abb07,90,30,3,1.5,4.642796092394707
