blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_08_abb12,0,124,12.4,12.5,6.769211344183473
2022_06_08_abb12,10,133,13.3,17,8.192815280611557
2022_06_08_abb12,20,58,5.8,2,6.4944420682440285
2022_06_08_abb12,30,119,11.9,11,9.048634028281715
2022_06_08_abb12,40,114,11.4,12,7.933053216343208
2022_06_08_abb12,50,100,10,5,8.70504323813373
2022_06_08_abb12,60,95,9.5,7.5,8.343327340522551
2022_06_08_abb12,70,60,6,2.5,8.29993306532582
2022_06_08_abb12,80,63,6.3,2.5,8.287205667640798
2022_06_08_abb12,90,50,5,2.5,7.133644853010899
