blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_09_abb04,0,136,13.6,16.5,8.435375246872871
2022_05_09_abb04,10,117,11.7,9.5,10.488618169764361
2022_05_09_abb04,20,102,10.2,3,10.432854089099706
2022_05_09_abb04,30,128,12.8,13.5,9.761602782785667
2022_05_09_abb04,40,126,12.6,13.5,9.777525249264253
2022_05_09_abb04,50,91,9.1,2.5,9.8257032544467
2022_05_09_abb04,60,112,11.2,4.5,11.467829398413246
2022_05_09_abb04,70,117,11.7,6.5,10.392839415246977
2022_05_09_abb04,80,106,10.6,4,10.813571719526038
2022_05_09_abb04,90,36,3.6,2,6.149977416399366
