blockname,spout,lick_count_trial_mean,lick_count_total,lick_ts_first_mean,lick_ts_last_mean,lick_ili_mean_mean,trial_lick_proportion,experiment,cohort,date,solution,solution_type,solution_value
2022_05_27_abb08,spout01,16.1,322,332.4,2457.85,147.18352612738138,1,abb,2,5/27/2022,sucrose10,sucrose,10
2022_05_27_abb08,spout02,10.9,218,230,1640.2631578947369,177.02273146982287,0.95,abb,2,5/27/2022,sucrose00,sucrose,0
2022_05_27_abb08,spout03,21.25,425,208.95,2914.25,138.1735975656685,1,abb,2,5/27/2022,sucrose30,sucrose,30
2022_05_27_abb08,spout04,10.4,208,196.3684210526316,1560.8947368421052,149.03709510598097,0.95,abb,2,5/27/2022,sucrose05,sucrose,5
2022_05_27_abb08,spout05,18.5,370,216.3684210526316,2673.842105263158,136.2539567518274,0.95,abb,2,5/27/2022,sucrose20,sucrose,20
