blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_21_abb05,0,200,20,20.5,2
2022_04_21_abb05,10,166,16.6,14.5,6.995236474439826
2022_04_21_abb05,20,156,15.6,18,6.669999167083073
2022_04_21_abb05,30,116,11.6,10,6.149977416399366
2022_04_21_abb05,40,114,11.4,11,4.9035134795822115
2022_04_21_abb05,50,92,9.2,8.5,4.61398839279954
2022_04_21_abb05,60,94,9.4,10,4.6475800154489
2022_04_21_abb05,70,67,6.7,6.5,4.083843505544474
2022_04_21_abb05,80,77,7.7,7,4.522781838156198
2022_04_21_abb05,90,63,6.3,5,4.522781838156198
