blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_26_abb03,0,67,6.7,8,3.945461527713414
2022_04_26_abb03,10,83,8.3,8.5,6.1472667819844045
2022_04_26_abb03,20,85,8.5,10,4.600724580614087
2022_04_26_abb03,30,80,8,8.5,5.291502622129181
2022_04_26_abb03,40,78,7.8,9,3.7653389990514503
2022_04_26_abb03,50,95,9.5,9.5,4.089281382128433
2022_04_26_abb03,60,89,8.9,10,3.956710193526379
2022_04_26_abb03,70,78,7.8,7.5,3.675746333890726
2022_04_26_abb03,80,72,7.2,8.5,4.049691346263317
2022_04_26_abb03,90,48,4.8,4.5,4.871686908385363
