blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_25_abb11,0,125,12.5,14.5,7.106335201775948
2022_05_25_abb11,10,106,10.6,9.5,8.221921916437786
2022_05_25_abb11,20,97,9.7,5,8.367264254887084
2022_05_25_abb11,30,92,9.2,7.5,5.977736472389306
2022_05_25_abb11,40,76,7.6,5,7.73448267321236
2022_05_25_abb11,50,82,8.2,6,7.842901957254796
2022_05_25_abb11,60,92,9.2,5,8.270429251254134
2022_05_25_abb11,70,98,9.8,7,7.871185143010902
2022_05_25_abb11,80,57,5.7,2.5,6.8158312446506155
2022_05_25_abb11,90,55,5.5,3.5,6.620674688680402
