blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_20_abb06,0,72,7.2,6.5,7.208020224413605
2022_04_20_abb06,10,74,7.4,5.5,6.736302975503535
2022_04_20_abb06,20,52,5.2,2,6.460134157533676
2022_04_20_abb06,30,59,5.9,5,5.896326540030383
2022_04_20_abb06,40,60,6,3.5,6.4635731432217725
2022_04_20_abb06,50,26,2.6,0,5.274677451960662
2022_04_20_abb06,60,15,1.5,0,4.743416490252569
2022_04_20_abb06,70,44,4.4,4,5.295700562196133
2022_04_20_abb06,80,6,0.6,0,1.3498971154211057
2022_04_20_abb06,90,19,1.9,0,4.998888765404656
