blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_14_abb11,0,spout01,nacl100,2,1,1,0
2022_06_14_abb11,0,spout02,nacl150,2,1,1,0
2022_06_14_abb11,0,spout03,nacl025,45,22.5,22.5,2.1213203435596424
2022_06_14_abb11,0,spout04,nacl050,12,6,6,4.242640687119285
2022_06_14_abb11,0,spout05,nacl000,47,23.5,23.5,2.1213203435596424
2022_06_14_abb11,10,spout01,nacl100,3,1.5,1.5,0.7071067811865476
2022_06_14_abb11,10,spout02,nacl150,2,1,1,0
2022_06_14_abb11,10,spout03,nacl025,3,1.5,1.5,0.7071067811865476
2022_06_14_abb11,10,spout04,nacl050,4,2,2,2.8284271247461903
2022_06_14_abb11,10,spout05,nacl000,47,23.5,23.5,2.1213203435596424
2022_06_14_abb11,20,spout01,nacl100,4,2,2,0
2022_06_14_abb11,20,spout02,nacl150,2,1,1,0
2022_06_14_abb11,20,spout03,nacl025,6,3,3,1.4142135623730951
2022_06_14_abb11,20,spout04,nacl050,18,9,9,1.4142135623730951
2022_06_14_abb11,20,spout05,nacl000,50,25,25,1.4142135623730951
2022_06_14_abb11,30,spout01,nacl100,8,4,4,0
2022_06_14_abb11,30,spout02,nacl150,2,1,1,0
2022_06_14_abb11,30,spout03,nacl025,47,23.5,23.5,0.7071067811865476
2022_06_14_abb11,30,spout04,nacl050,23,11.5,11.5,4.949747468305833
2022_06_14_abb11,30,spout05,nacl000,50,25,25,0
2022_06_14_abb11,40,spout01,nacl100,3,1.5,1.5,0.7071067811865476
2022_06_14_abb11,40,spout02,nacl150,2,1,1,0
2022_06_14_abb11,40,spout03,nacl025,48,24,24,1.4142135623730951
2022_06_14_abb11,40,spout04,nacl050,4,2,2,1.4142135623730951
2022_06_14_abb11,40,spout05,nacl000,47,23.5,23.5,0.7071067811865476
2022_06_14_abb11,50,spout01,nacl100,2,1,1,0
2022_06_14_abb11,50,spout02,nacl150,3,1.5,1.5,0.7071067811865476
2022_06_14_abb11,50,spout03,nacl025,44,22,22,0
2022_06_14_abb11,50,spout04,nacl050,10,5,5,1.4142135623730951
2022_06_14_abb11,50,spout05,nacl000,46,23,23,2.8284271247461903
2022_06_14_abb11,60,spout01,nacl100,3,1.5,1.5,0.7071067811865476
2022_06_14_abb11,60,spout02,nacl150,2,1,1,0
2022_06_14_abb11,60,spout03,nacl025,39,19.5,19.5,7.7781745930520225
2022_06_14_abb11,60,spout04,nacl050,12,6,6,7.0710678118654755
2022_06_14_abb11,60,spout05,nacl000,45,22.5,22.5,0.7071067811865476
2022_06_14_abb11,70,spout01,nacl100,2,1,1,0
2022_06_14_abb11,70,spout02,nacl150,2,1,1,0
2022_06_14_abb11,70,spout03,nacl025,32,16,16,5.656854249492381
2022_06_14_abb11,70,spout04,nacl050,22,11,11,1.4142135623730951
2022_06_14_abb11,70,spout05,nacl000,43,21.5,21.5,3.5355339059327378
2022_06_14_abb11,80,spout01,nacl100,2,1,1,0
2022_06_14_abb11,80,spout02,nacl150,1,0.5,0.5,0.7071067811865476
2022_06_14_abb11,80,spout03,nacl025,32,16,16,0
2022_06_14_abb11,80,spout04,nacl050,7,3.5,3.5,2.1213203435596424
2022_06_14_abb11,80,spout05,nacl000,44,22,22,0
2022_06_14_abb11,90,spout01,nacl100,2,1,1,0
2022_06_14_abb11,90,spout02,nacl150,2,1,1,0
2022_06_14_abb11,90,spout03,nacl025,27,13.5,13.5,3.5355339059327378
2022_06_14_abb11,90,spout04,nacl050,12,6,6,7.0710678118654755
2022_06_14_abb11,90,spout05,nacl000,39,19.5,19.5,2.1213203435596424
