blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_24_abb12,0,spout01,sucrose30,42,21,21,1.4142135623730951
2022_05_24_abb12,0,spout02,sucrose10,31,15.5,15.5,0.7071067811865476
2022_05_24_abb12,0,spout03,sucrose20,41,20.5,20.5,2.1213203435596424
2022_05_24_abb12,0,spout04,sucrose00,36,18,18,0
2022_05_24_abb12,0,spout05,sucrose05,44,22,22,0
2022_05_24_abb12,10,spout01,sucrose30,39,19.5,19.5,0.7071067811865476
2022_05_24_abb12,10,spout02,sucrose10,31,15.5,15.5,2.1213203435596424
2022_05_24_abb12,10,spout03,sucrose20,41,20.5,20.5,3.5355339059327378
2022_05_24_abb12,10,spout04,sucrose00,46,23,23,1.4142135623730951
2022_05_24_abb12,10,spout05,sucrose05,45,22.5,22.5,0.7071067811865476
2022_05_24_abb12,20,spout01,sucrose30,40,20,20,2.8284271247461903
2022_05_24_abb12,20,spout02,sucrose10,18,9,9,5.656854249492381
2022_05_24_abb12,20,spout03,sucrose20,44,22,22,1.4142135623730951
2022_05_24_abb12,20,spout04,sucrose00,46,23,23,1.4142135623730951
2022_05_24_abb12,20,spout05,sucrose05,48,24,24,0
2022_05_24_abb12,30,spout01,sucrose30,42,21,21,1.4142135623730951
2022_05_24_abb12,30,spout02,sucrose10,24,12,12,5.656854249492381
2022_05_24_abb12,30,spout03,sucrose20,47,23.5,23.5,0.7071067811865476
2022_05_24_abb12,30,spout04,sucrose00,44,22,22,0
2022_05_24_abb12,30,spout05,sucrose05,47,23.5,23.5,0.7071067811865476
2022_05_24_abb12,40,spout01,sucrose30,40,20,20,2.8284271247461903
2022_05_24_abb12,40,spout02,sucrose10,21,10.5,10.5,7.7781745930520225
2022_05_24_abb12,40,spout03,sucrose20,43,21.5,21.5,0.7071067811865476
2022_05_24_abb12,40,spout04,sucrose00,48,24,24,0
2022_05_24_abb12,40,spout05,sucrose05,47,23.5,23.5,0.7071067811865476
2022_05_24_abb12,50,spout01,sucrose30,43,21.5,21.5,0.7071067811865476
2022_05_24_abb12,50,spout02,sucrose10,27,13.5,13.5,0.7071067811865476
2022_05_24_abb12,50,spout03,sucrose20,37,18.5,18.5,0.7071067811865476
2022_05_24_abb12,50,spout04,sucrose00,32,16,16,2.8284271247461903
2022_05_24_abb12,50,spout05,sucrose05,47,23.5,23.5,0.7071067811865476
2022_05_24_abb12,60,spout01,sucrose30,41,20.5,20.5,3.5355339059327378
2022_05_24_abb12,60,spout02,sucrose10,26,13,13,1.4142135623730951
2022_05_24_abb12,60,spout03,sucrose20,38,19,19,1.4142135623730951
2022_05_24_abb12,60,spout04,sucrose00,32,16,16,2.8284271247461903
2022_05_24_abb12,60,spout05,sucrose05,49,24.5,24.5,0.7071067811865476
2022_05_24_abb12,70,spout01,sucrose30,37,18.5,18.5,0.7071067811865476
2022_05_24_abb12,70,spout02,sucrose10,17,8.5,8.5,6.363961030678928
2022_05_24_abb12,70,spout03,sucrose20,34,17,17,0
2022_05_24_abb12,70,spout04,sucrose00,18,9,9,5.656854249492381
2022_05_24_abb12,70,spout05,sucrose05,42,21,21,4.242640687119285
2022_05_24_abb12,80,spout01,sucrose30,30,15,15,0
2022_05_24_abb12,80,spout02,sucrose10,14,7,7,2.8284271247461903
2022_05_24_abb12,80,spout03,sucrose20,38,19,19,0
2022_05_24_abb12,80,spout04,sucrose00,15,7.5,7.5,0.7071067811865476
2022_05_24_abb12,80,spout05,sucrose05,32,16,16,1.4142135623730951
2022_05_24_abb12,90,spout01,sucrose30,29,14.5,14.5,0.7071067811865476
2022_05_24_abb12,90,spout02,sucrose10,12,6,6,4.242640687119285
2022_05_24_abb12,90,spout03,sucrose20,31,15.5,15.5,0.7071067811865476
2022_05_24_abb12,90,spout04,sucrose00,8,4,4,0
2022_05_24_abb12,90,spout05,sucrose05,10,5,5,7.0710678118654755
