blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_09_abb12,0,187,18.7,22,6.733828364641056
2022_06_09_abb12,10,136,13.6,13,8.971560003081342
2022_06_09_abb12,20,120,12,10.5,8.219218670625303
2022_06_09_abb12,30,113,11.3,8.5,8.857514073122072
2022_06_09_abb12,40,91,9.1,4.5,7.593125545883958
2022_06_09_abb12,50,83,8.3,5,8.042249547096743
2022_06_09_abb12,60,83,8.3,7.5,7.379400758568107
2022_06_09_abb12,70,37,3.7,1,5.229191567005787
2022_06_09_abb12,80,55,5.5,2.5,6.72061505121865
2022_06_09_abb12,90,65,6.5,3,6.363961030678928
