blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_15_abb09,0,85,8.5,2,9.606132300659707
2022_06_15_abb09,10,104,10.4,5.5,10.243697249203207
2022_06_15_abb09,20,139,13.9,19,10.016098153583672
2022_06_15_abb09,30,125,12.5,11.5,10.575128052810204
2022_06_15_abb09,40,112,11.2,10,10.347302385968367
2022_06_15_abb09,50,84,8.4,2.5,9.118966803073446
2022_06_15_abb09,60,81,8.1,2,9.338688939626971
2022_06_15_abb09,70,53,5.3,1.5,7.986794656737388
2022_06_15_abb09,80,84,8.4,2,9.66321777555374
2022_06_15_abb09,90,78,7.8,2,8.390470785361213
