blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_27_abb04,0,spout01,sucrose20,39,19.5,19.5,2.1213203435596424
2022_04_27_abb04,0,spout02,sucrose30,41,20.5,20.5,0.7071067811865476
2022_04_27_abb04,0,spout03,sucrose05,8,4,4,1.4142135623730951
2022_04_27_abb04,0,spout04,sucrose10,29,14.5,14.5,12.020815280171307
2022_04_27_abb04,0,spout05,sucrose00,8,4,4,0
2022_04_27_abb04,10,spout01,sucrose20,35,17.5,17.5,0.7071067811865476
2022_04_27_abb04,10,spout02,sucrose30,34,17,17,0
2022_04_27_abb04,10,spout03,sucrose05,10,5,5,2.8284271247461903
2022_04_27_abb04,10,spout04,sucrose10,17,8.5,8.5,7.7781745930520225
2022_04_27_abb04,10,spout05,sucrose00,9,4.5,4.5,0.7071067811865476
2022_04_27_abb04,20,spout01,sucrose20,27,13.5,13.5,6.363961030678928
2022_04_27_abb04,20,spout02,sucrose30,33,16.5,16.5,2.1213203435596424
2022_04_27_abb04,20,spout03,sucrose05,4,2,2,0
2022_04_27_abb04,20,spout04,sucrose10,1,0.5,0.5,0.7071067811865476
2022_04_27_abb04,20,spout05,sucrose00,7,3.5,3.5,0.7071067811865476
2022_04_27_abb04,30,spout01,sucrose20,12,6,6,4.242640687119285
2022_04_27_abb04,30,spout02,sucrose30,36,18,18,1.4142135623730951
2022_04_27_abb04,30,spout03,sucrose05,2,1,1,1.4142135623730951
2022_04_27_abb04,30,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,30,spout05,sucrose00,3,1.5,1.5,2.1213203435596424
2022_04_27_abb04,40,spout01,sucrose20,24,12,12,4.242640687119285
2022_04_27_abb04,40,spout02,sucrose30,27,13.5,13.5,0.7071067811865476
2022_04_27_abb04,40,spout03,sucrose05,2,1,1,1.4142135623730951
2022_04_27_abb04,40,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,40,spout05,sucrose00,4,2,2,1.4142135623730951
2022_04_27_abb04,50,spout01,sucrose20,8,4,4,1.4142135623730951
2022_04_27_abb04,50,spout02,sucrose30,6,3,3,4.242640687119285
2022_04_27_abb04,50,spout03,sucrose05,0,0,0,0
2022_04_27_abb04,50,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,50,spout05,sucrose00,0,0,0,0
2022_04_27_abb04,60,spout01,sucrose20,8,4,4,4.242640687119285
2022_04_27_abb04,60,spout02,sucrose30,14,7,7,9.899494936611665
2022_04_27_abb04,60,spout03,sucrose05,0,0,0,0
2022_04_27_abb04,60,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,60,spout05,sucrose00,0,0,0,0
2022_04_27_abb04,70,spout01,sucrose20,16,8,8,8.48528137423857
2022_04_27_abb04,70,spout02,sucrose30,12,6,6,8.48528137423857
2022_04_27_abb04,70,spout03,sucrose05,4,2,2,2.8284271247461903
2022_04_27_abb04,70,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,70,spout05,sucrose00,3,1.5,1.5,2.1213203435596424
2022_04_27_abb04,80,spout01,sucrose20,0,0,0,0
2022_04_27_abb04,80,spout02,sucrose30,9,4.5,4.5,6.363961030678928
2022_04_27_abb04,80,spout03,sucrose05,0,0,0,0
2022_04_27_abb04,80,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,80,spout05,sucrose00,0,0,0,0
2022_04_27_abb04,90,spout01,sucrose20,3,1.5,1.5,2.1213203435596424
2022_04_27_abb04,90,spout02,sucrose30,17,8.5,8.5,3.5355339059327378
2022_04_27_abb04,90,spout03,sucrose05,1,0.5,0.5,0.7071067811865476
2022_04_27_abb04,90,spout04,sucrose10,0,0,0,0
2022_04_27_abb04,90,spout05,sucrose00,0,0,0,0
