blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_10_abb09,0,220,22,23,2.309401076758503
2022_06_10_abb09,10,234,23.4,24,1.0749676997731399
2022_06_10_abb09,20,230,23,23.5,2.160246899469287
2022_06_10_abb09,30,225,22.5,23.5,2.3213980461973533
2022_06_10_abb09,40,220,22,22,3.3333333333333335
2022_06_10_abb09,50,153,15.3,16,8.097324661063471
2022_06_10_abb09,60,82,8.2,3.5,10.358034991681043
2022_06_10_abb09,70,130,13,13.5,8.931840671316175
2022_06_10_abb09,80,60,6,1,8.110350040397625
2022_06_10_abb09,90,31,3.1,0,6.539622822966678
