blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_20_abb03,0,195,19.5,19.5,1.90029237516523
2022_04_20_abb03,10,185,18.5,19.5,3.865804501581067
2022_04_20_abb03,20,169,16.9,17.5,2.6012817353502227
2022_04_20_abb03,30,155,15.5,16,3.3082388735465345
2022_04_20_abb03,40,111,11.1,12,5.3218626647276635
2022_04_20_abb03,50,60,6,4.5,6
2022_04_20_abb03,60,56,5.6,3.5,6.203941399536982
2022_04_20_abb03,70,32,3.2,0,5.28730134903956
2022_04_20_abb03,80,44,4.4,3,4.5995168828427575
2022_04_20_abb03,90,0,0,0,0
