blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_05_23_abb07,lick_05,12391,12238,1,spout05,1,153,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,12526,12238,1,spout05,1,288,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,12681,12238,1,spout05,1,443,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,12809,12238,1,spout05,1,571,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,12948,12238,1,spout05,1,710,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13099,12238,1,spout05,1,861,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13246,12238,1,spout05,1,1008,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13385,12238,1,spout05,1,1147,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13532,12238,1,spout05,1,1294,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13683,12238,1,spout05,1,1445,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13841,12238,1,spout05,1,1603,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,13996,12238,1,spout05,1,1758,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14167,12238,1,spout05,1,1929,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14325,12238,1,spout05,1,2087,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14487,12238,1,spout05,1,2249,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14642,12238,1,spout05,1,2404,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14820,12238,1,spout05,1,2582,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,14986,12238,1,spout05,1,2748,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,15152,12238,1,spout05,1,2914,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick,23563,23425,2,spout01,1,138,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,23694,23425,2,spout01,1,269,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,23833,23425,2,spout01,1,408,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,23961,23425,2,spout01,1,536,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24100,23425,2,spout01,1,675,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24247,23425,2,spout01,1,822,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24394,23425,2,spout01,1,969,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24534,23425,2,spout01,1,1109,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24680,23425,2,spout01,1,1255,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24815,23425,2,spout01,1,1390,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,24978,23425,2,spout01,1,1553,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,25125,23425,2,spout01,1,1700,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick_04,38692,38538,3,spout04,1,154,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,38828,38538,3,spout04,1,290,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,38955,38538,3,spout04,1,417,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39083,38538,3,spout04,1,545,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39222,38538,3,spout04,1,684,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39357,38538,3,spout04,1,819,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39492,38538,3,spout04,1,954,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39627,38538,3,spout04,1,1089,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39759,38538,3,spout04,1,1221,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,39910,38538,3,spout04,1,1372,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40060,38538,3,spout04,1,1522,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40197,38538,3,spout04,1,1659,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40343,38538,3,spout04,1,1805,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40502,38538,3,spout04,1,1964,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40644,38538,3,spout04,1,2106,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40803,38538,3,spout04,1,2265,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,40946,38538,3,spout04,1,2408,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,41094,38538,3,spout04,1,2556,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,41248,38538,3,spout04,1,2710,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,41391,38538,3,spout04,1,2853,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_03,51459,51357,4,spout03,1,102,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,51582,51357,4,spout03,1,225,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,51698,51357,4,spout03,1,341,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,51834,51357,4,spout03,1,477,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,51958,51357,4,spout03,1,601,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,52109,51357,4,spout03,1,752,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,52681,51357,4,spout03,1,1324,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_04,65684,65521,5,spout04,2,163,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,65826,65521,5,spout04,2,305,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,65958,65521,5,spout04,2,437,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66082,65521,5,spout04,2,561,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66222,65521,5,spout04,2,701,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66365,65521,5,spout04,2,844,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66485,65521,5,spout04,2,964,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66620,65521,5,spout04,2,1099,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66755,65521,5,spout04,2,1234,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,66894,65521,5,spout04,2,1373,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67042,65521,5,spout04,2,1521,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67188,65521,5,spout04,2,1667,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67332,65521,5,spout04,2,1811,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67482,65521,5,spout04,2,1961,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67641,65521,5,spout04,2,2120,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67780,65521,5,spout04,2,2259,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,67931,65521,5,spout04,2,2410,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,68074,65521,5,spout04,2,2553,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,68225,65521,5,spout04,2,2704,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,68371,65521,5,spout04,2,2850,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,68518,65521,5,spout04,2,2997,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_02,77230,77104,6,spout02,1,126,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,77380,77104,6,spout02,1,276,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,77473,77104,6,spout02,1,369,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,77596,77104,6,spout02,1,492,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,77848,77104,6,spout02,1,744,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,77987,77104,6,spout02,1,883,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78114,77104,6,spout02,1,1010,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78242,77104,6,spout02,1,1138,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78373,77104,6,spout02,1,1269,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78509,77104,6,spout02,1,1405,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78652,77104,6,spout02,1,1548,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78791,77104,6,spout02,1,1687,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,78923,77104,6,spout02,1,1819,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,79058,77104,6,spout02,1,1954,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,79333,77104,6,spout02,1,2229,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,79638,77104,6,spout02,1,2534,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,79801,77104,6,spout02,1,2697,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,79936,77104,6,spout02,1,2832,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick,89414,89260,7,spout01,2,154,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,89552,89260,7,spout01,2,292,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,89654,89260,7,spout01,2,394,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick,89889,89260,7,spout01,2,629,abb,2,5/23/2022,sucrose05,sucrose,5
2022_05_23_abb07,lick_02,104309,104094,8,spout02,2,215,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,104517,104094,8,spout02,2,423,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,104619,104094,8,spout02,2,525,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,104730,104094,8,spout02,2,636,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,104839,104094,8,spout02,2,745,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,104963,104094,8,spout02,2,869,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105086,104094,8,spout02,2,992,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105213,104094,8,spout02,2,1119,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105346,104094,8,spout02,2,1252,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105477,104094,8,spout02,2,1383,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105609,104094,8,spout02,2,1515,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105747,104094,8,spout02,2,1653,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,105886,104094,8,spout02,2,1792,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106017,104094,8,spout02,2,1923,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106157,104094,8,spout02,2,2063,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106289,104094,8,spout02,2,2195,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106432,104094,8,spout02,2,2338,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106571,104094,8,spout02,2,2477,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106714,104094,8,spout02,2,2620,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_02,106838,104094,8,spout02,2,2744,abb,2,5/23/2022,sucrose20,sucrose,20
2022_05_23_abb07,lick_05,116625,116458,9,spout05,2,167,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,116748,116458,9,spout05,2,290,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,116865,116458,9,spout05,2,407,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,116984,116458,9,spout05,2,526,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,117112,116458,9,spout05,2,654,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,117525,116458,9,spout05,2,1067,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,117668,116458,9,spout05,2,1210,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,117795,116458,9,spout05,2,1337,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,117927,116458,9,spout05,2,1469,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,118078,116458,9,spout05,2,1620,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,118237,116458,9,spout05,2,1779,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_03,131265,131129,10,spout03,2,136,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,131403,131129,10,spout03,2,274,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,131509,131129,10,spout03,2,380,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,131636,131129,10,spout03,2,507,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_03,132363,131129,10,spout03,2,1234,abb,2,5/23/2022,sucrose00,sucrose,0
2022_05_23_abb07,lick_04,143867,143687,11,spout04,3,180,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144003,143687,11,spout04,3,316,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144119,143687,11,spout04,3,432,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144234,143687,11,spout04,3,547,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144351,143687,11,spout04,3,664,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144471,143687,11,spout04,3,784,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144599,143687,11,spout04,3,912,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144727,143687,11,spout04,3,1040,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144854,143687,11,spout04,3,1167,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,144985,143687,11,spout04,3,1298,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145117,143687,11,spout04,3,1430,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145248,143687,11,spout04,3,1561,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145383,143687,11,spout04,3,1696,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145526,143687,11,spout04,3,1839,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145673,143687,11,spout04,3,1986,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145820,143687,11,spout04,3,2133,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,145955,143687,11,spout04,3,2268,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,146103,143687,11,spout04,3,2416,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,146245,143687,11,spout04,3,2558,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,146388,143687,11,spout04,3,2701,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,146528,143687,11,spout04,3,2841,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_04,146675,143687,11,spout04,3,2988,abb,2,5/23/2022,sucrose30,sucrose,30
2022_05_23_abb07,lick_05,157889,157723,12,spout05,3,166,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,158024,157723,12,spout05,3,301,abb,2,5/23/2022,sucrose10,sucrose,10
2022_05_23_abb07,lick_05,158140,157723,12,spout05,3,417,abb,2,5/23/2022,sucrose10,sucrose,10
