blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_17_abb07,0,97,9.7,9.5,6.700746227100382
2022_06_17_abb07,10,106,10.6,12.5,6.077280093375105
2022_06_17_abb07,20,101,10.1,10.5,6.65749368923638
2022_06_17_abb07,30,80,8,7.5,7.287737036358482
2022_06_17_abb07,40,93,9.3,10,7.94494947889678
2022_06_17_abb07,50,63,6.3,3,6.945022198188666
2022_06_17_abb07,60,77,7.7,8,6.61731734835869
2022_06_17_abb07,70,79,7.9,5.5,7.340148348485729
2022_06_17_abb07,80,76,7.6,6.5,6.3456021516217564
2022_06_17_abb07,90,64,6.4,2,7.306009702825324
