11 0
13 0
1 101
100 1800000
101 32
103 1
104 1
105 1
107 0
108 0
109 0
110 8
111 1.25
112 500
113 0
114 0
115 3000
116 35
117 5
118 140
119 2000
120 0
121 5000
122 3000
124 -1
125 -1
126 1
12 101
15 101
102 101
102 8
106 101
106 0
123 101
123 0
71 667
71 858
71 897
71 931
71 971
71 1033
71 1119
71 1153
72 1153
11 1153
73 1184
73 1216
83 1273
12 4654
71 4814
71 4859
71 4905
71 4943
71 4975
71 5009
71 5039
71 5071
72 5071
11 5071
73 5103
73 5132
12 8572
71 8878
71 8916
71 8953
71 8991
71 9031
71 9074
71 9131
71 9888
72 9888
11 9888
12 13389
71 13603
71 13664
71 13714
71 13762
71 13805
71 13842
71 13878
71 13918
72 13918
11 13918
73 13958
12 17419
71 17580
71 17618
71 17656
71 17696
71 17733
71 17771
71 17811
71 17858
72 17858
11 17858
12 21359
71 21513
71 21558
71 21599
71 21638
71 21675
71 21714
71 21755
71 21812
72 21812
11 21812
73 21888
12 25313
71 25483
71 25535
71 25581
71 25627
71 25677
71 25973
81 33934
71 35453
71 35608
71 35732
72 35732
11 35732
12 39233
71 39392
71 39443
71 39494
71 39548
71 39614
71 39894
71 40005
81 40225
81 40273
81 40318
71 40427
71 40486
71 40545
71 40613
72 40613
11 40613
73 40722
12 44114
71 44293
71 44340
71 44390
71 44452
71 44580
71 48669
71 48756
81 49454
81 49555
81 49677
81 49762
81 49854
81 49912
81 49969
81 50034
82 50034
11 50034
83 50093
73 50155
13 50534
18 50534
14 50569
18 50709
14 50744
31 50754
31 50873
18 50884
14 50919
31 50983
18 51059
14 51094
31 51103
18 51234
14 51269
15 53534
12 53535
71 53734
71 54006
71 55883
81 55986
71 56231
71 57712
71 57783
71 57849
71 57893
71 57917
72 57917
11 57917
73 57939
73 57960
73 57980
83 58631
12 61418
71 61591
71 61657
71 61713
71 61762
71 61813
71 61863
81 62002
71 62121
71 62170
71 62228
72 62228
11 62228
12 65729
71 66037
71 66758
71 67131
71 67344
71 67526
71 67590
71 67647
71 67699
72 67699
11 67699
73 67746
83 68174
12 71200
71 71371
71 71414
71 71457
71 71503
71 71553
71 71621
81 74422
71 75127
71 75230
71 75465
72 75465
11 75465
83 75553
12 78966
71 79139
71 79190
71 79243
71 79301
71 79369
71 79955
81 80074
71 80243
81 80294
81 80379
81 80512
81 80576
81 80624
81 80665
81 80701
81 80733
82 80733
11 80733
83 80767
83 80801
13 81233
18 81233
14 81268
18 81408
