blockname,date,event_key,event_id,event_id_char,event_ts
2022_05_24_abb10,2022_05_24,1,11,break_engaged,0
2022_05_24_abb10,2022_05_24,1,13,spout_extended,0
2022_05_24_abb10,2022_05_24,1,1,start_session,0
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,0
2022_05_24_abb10,2022_05_24,1,13,spout_extended,12238
2022_05_24_abb10,2022_05_24,1,34,lick_04,12381
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12381
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12411
2022_05_24_abb10,2022_05_24,1,34,lick_04,12489
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12489
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12519
2022_05_24_abb10,2022_05_24,1,34,lick_04,12574
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12574
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12604
2022_05_24_abb10,2022_05_24,1,34,lick_04,12687
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12687
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12717
2022_05_24_abb10,2022_05_24,1,34,lick_04,12825
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12825
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12855
2022_05_24_abb10,2022_05_24,1,34,lick_04,12946
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,12946
2022_05_24_abb10,2022_05_24,1,14,sol_offset,12976
2022_05_24_abb10,2022_05_24,1,34,lick_04,13077
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13077
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13107
2022_05_24_abb10,2022_05_24,1,34,lick_04,13216
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13216
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13246
2022_05_24_abb10,2022_05_24,1,34,lick_04,13347
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13347
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13377
2022_05_24_abb10,2022_05_24,1,34,lick_04,13460
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13460
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13490
2022_05_24_abb10,2022_05_24,1,34,lick_04,13576
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13576
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13606
2022_05_24_abb10,2022_05_24,1,34,lick_04,13722
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13722
2022_05_24_abb10,2022_05_24,1,14,sol_offset,13752
2022_05_24_abb10,2022_05_24,1,34,lick_04,13974
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,13974
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14004
2022_05_24_abb10,2022_05_24,1,34,lick_04,14094
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14094
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14124
2022_05_24_abb10,2022_05_24,1,34,lick_04,14247
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14247
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14277
2022_05_24_abb10,2022_05_24,1,34,lick_04,14395
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14395
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14425
2022_05_24_abb10,2022_05_24,1,34,lick_04,14522
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14522
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14552
2022_05_24_abb10,2022_05_24,1,34,lick_04,14635
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14635
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14665
2022_05_24_abb10,2022_05_24,1,34,lick_04,14770
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14770
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14800
2022_05_24_abb10,2022_05_24,1,34,lick_04,14916
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,14916
2022_05_24_abb10,2022_05_24,1,14,sol_offset,14946
2022_05_24_abb10,2022_05_24,1,34,lick_04,15059
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,15059
2022_05_24_abb10,2022_05_24,1,14,sol_offset,15089
2022_05_24_abb10,2022_05_24,1,34,lick_04,15187
2022_05_24_abb10,2022_05_24,1,44,sol_onset_04,15187
2022_05_24_abb10,2022_05_24,1,14,sol_offset,15217
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,15238
2022_05_24_abb10,2022_05_24,1,11,break_engaged,15239
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,15439
2022_05_24_abb10,2022_05_24,1,130,radial_in_pos,16139
2022_05_24_abb10,2022_05_24,1,13,spout_extended,23425
2022_05_24_abb10,2022_05_24,1,35,lick_05,23672
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,23672
2022_05_24_abb10,2022_05_24,1,14,sol_offset,23683
2022_05_24_abb10,2022_05_24,1,35,lick_05,23830
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,23830
2022_05_24_abb10,2022_05_24,1,14,sol_offset,23841
2022_05_24_abb10,2022_05_24,1,35,lick_05,23939
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,23939
2022_05_24_abb10,2022_05_24,1,14,sol_offset,23950
2022_05_24_abb10,2022_05_24,1,35,lick_05,24159
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24159
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24170
2022_05_24_abb10,2022_05_24,1,35,lick_05,24322
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24322
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24333
2022_05_24_abb10,2022_05_24,1,35,lick_05,24449
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24449
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24460
2022_05_24_abb10,2022_05_24,1,35,lick_05,24646
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24646
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24657
2022_05_24_abb10,2022_05_24,1,35,lick_05,24751
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24751
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24762
2022_05_24_abb10,2022_05_24,1,35,lick_05,24908
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,24908
2022_05_24_abb10,2022_05_24,1,14,sol_offset,24919
2022_05_24_abb10,2022_05_24,1,35,lick_05,25044
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25044
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25055
2022_05_24_abb10,2022_05_24,1,35,lick_05,25091
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25091
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25102
2022_05_24_abb10,2022_05_24,1,35,lick_05,25202
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25202
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25213
2022_05_24_abb10,2022_05_24,1,35,lick_05,25357
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25357
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25368
2022_05_24_abb10,2022_05_24,1,35,lick_05,25546
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25546
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25558
2022_05_24_abb10,2022_05_24,1,35,lick_05,25644
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25644
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25655
2022_05_24_abb10,2022_05_24,1,35,lick_05,25812
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25812
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25823
2022_05_24_abb10,2022_05_24,1,35,lick_05,25956
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,25956
2022_05_24_abb10,2022_05_24,1,14,sol_offset,25967
2022_05_24_abb10,2022_05_24,1,35,lick_05,26002
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,26002
2022_05_24_abb10,2022_05_24,1,14,sol_offset,26013
2022_05_24_abb10,2022_05_24,1,35,lick_05,26115
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,26115
2022_05_24_abb10,2022_05_24,1,14,sol_offset,26126
2022_05_24_abb10,2022_05_24,1,35,lick_05,26269
2022_05_24_abb10,2022_05_24,1,45,sol_onset_05,26269
2022_05_24_abb10,2022_05_24,1,14,sol_offset,26280
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,26425
2022_05_24_abb10,2022_05_24,1,11,break_engaged,26426
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,26626
2022_05_24_abb10,2022_05_24,1,130,radial_in_pos,27326
2022_05_24_abb10,2022_05_24,1,13,spout_extended,38538
2022_05_24_abb10,2022_05_24,1,32,lick_02,39612
2022_05_24_abb10,2022_05_24,1,42,sol_onset_02,39612
2022_05_24_abb10,2022_05_24,1,14,sol_offset,39646
2022_05_24_abb10,2022_05_24,1,32,lick_02,39863
2022_05_24_abb10,2022_05_24,1,42,sol_onset_02,39863
2022_05_24_abb10,2022_05_24,1,14,sol_offset,39897
2022_05_24_abb10,2022_05_24,1,32,lick_02,40261
2022_05_24_abb10,2022_05_24,1,42,sol_onset_02,40261
2022_05_24_abb10,2022_05_24,1,14,sol_offset,40295
2022_05_24_abb10,2022_05_24,1,32,lick_02,40555
2022_05_24_abb10,2022_05_24,1,42,sol_onset_02,40555
2022_05_24_abb10,2022_05_24,1,14,sol_offset,40589
2022_05_24_abb10,2022_05_24,1,32,lick_02,41297
2022_05_24_abb10,2022_05_24,1,42,sol_onset_02,41297
2022_05_24_abb10,2022_05_24,1,14,sol_offset,41331
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,41538
2022_05_24_abb10,2022_05_24,1,11,break_engaged,41539
2022_05_24_abb10,2022_05_24,1,15,spout_retracted,41739
2022_05_24_abb10,2022_05_24,1,130,radial_in_pos,42439
2022_05_24_abb10,2022_05_24,1,13,spout_extended,51357
2022_05_24_abb10,2022_05_24,1,33,lick_03,51487
2022_05_24_abb10,2022_05_24,1,43,sol_onset_03,51487
2022_05_24_abb10,2022_05_24,1,14,sol_offset,51512
2022_05_24_abb10,2022_05_24,1,33,lick_03,51639
2022_05_24_abb10,2022_05_24,1,43,sol_onset_03,51639
2022_05_24_abb10,2022_05_24,1,14,sol_offset,51664
2022_05_24_abb10,2022_05_24,1,33,lick_03,51750
2022_05_24_abb10,2022_05_24,1,43,sol_onset_03,51750
2022_05_24_abb10,2022_05_24,1,14,sol_offset,51775
