blockname,date,event_key,event_id,event_id_char,event_ts
2022_05_30_abb08,2022_05_30,1,11,break_engaged,0
2022_05_30_abb08,2022_05_30,1,13,spout_extended,0
2022_05_30_abb08,2022_05_30,1,1,start_session,0
2022_05_30_abb08,2022_05_30,1,15,spout_retracted,0
2022_05_30_abb08,2022_05_30,1,13,spout_extended,12238
2022_05_30_abb08,2022_05_30,1,32,lick_02,12363
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,12363
2022_05_30_abb08,2022_05_30,1,14,sol_offset,12397
2022_05_30_abb08,2022_05_30,1,32,lick_02,12564
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,12564
2022_05_30_abb08,2022_05_30,1,14,sol_offset,12598
2022_05_30_abb08,2022_05_30,1,32,lick_02,12734
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,12734
2022_05_30_abb08,2022_05_30,1,14,sol_offset,12768
2022_05_30_abb08,2022_05_30,1,32,lick_02,12901
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,12901
2022_05_30_abb08,2022_05_30,1,14,sol_offset,12935
2022_05_30_abb08,2022_05_30,1,32,lick_02,13005
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13005
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13039
2022_05_30_abb08,2022_05_30,1,32,lick_02,13140
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13140
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13174
2022_05_30_abb08,2022_05_30,1,32,lick_02,13267
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13267
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13301
2022_05_30_abb08,2022_05_30,1,32,lick_02,13400
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13400
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13434
2022_05_30_abb08,2022_05_30,1,32,lick_02,13535
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13535
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13569
2022_05_30_abb08,2022_05_30,1,32,lick_02,13663
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13663
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13697
2022_05_30_abb08,2022_05_30,1,32,lick_02,13802
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13802
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13836
2022_05_30_abb08,2022_05_30,1,32,lick_02,13933
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,13933
2022_05_30_abb08,2022_05_30,1,14,sol_offset,13967
2022_05_30_abb08,2022_05_30,1,32,lick_02,14065
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14065
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14099
2022_05_30_abb08,2022_05_30,1,32,lick_02,14200
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14200
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14234
2022_05_30_abb08,2022_05_30,1,32,lick_02,14340
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14340
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14374
2022_05_30_abb08,2022_05_30,1,32,lick_02,14479
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14479
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14513
2022_05_30_abb08,2022_05_30,1,32,lick_02,14618
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14618
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14652
2022_05_30_abb08,2022_05_30,1,32,lick_02,14753
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14753
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14787
2022_05_30_abb08,2022_05_30,1,32,lick_02,14889
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,14889
2022_05_30_abb08,2022_05_30,1,14,sol_offset,14923
2022_05_30_abb08,2022_05_30,1,32,lick_02,15028
2022_05_30_abb08,2022_05_30,1,42,sol_onset_02,15028
2022_05_30_abb08,2022_05_30,1,14,sol_offset,15062
2022_05_30_abb08,2022_05_30,1,15,spout_retracted,15238
2022_05_30_abb08,2022_05_30,1,11,break_engaged,15239
2022_05_30_abb08,2022_05_30,1,15,spout_retracted,15439
2022_05_30_abb08,2022_05_30,1,130,radial_in_pos,16139
2022_05_30_abb08,2022_05_30,1,13,spout_extended,23425
2022_05_30_abb08,2022_05_30,1,31,lick,23571
2022_05_30_abb08,2022_05_30,1,41,sol_onset_01,23571
2022_05_30_abb08,2022_05_30,1,14,sol_offset,23599
2022_05_30_abb08,2022_05_30,1,31,lick,23772
2022_05_30_abb08,2022_05_30,1,41,sol_onset_01,23772
