blockname,date,event_key,event_id,event_id_char,event_ts
2022_05_27_abb07,2022_05_27,1,11,break_engaged,0
2022_05_27_abb07,2022_05_27,1,13,spout_extended,0
2022_05_27_abb07,2022_05_27,1,1,start_session,0
2022_05_27_abb07,2022_05_27,1,15,spout_retracted,0
2022_05_27_abb07,2022_05_27,1,13,spout_extended,8624
2022_05_27_abb07,2022_05_27,1,32,lick_02,8763
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,8763
2022_05_27_abb07,2022_05_27,1,14,sol_offset,8797
2022_05_27_abb07,2022_05_27,1,32,lick_02,8913
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,8913
2022_05_27_abb07,2022_05_27,1,14,sol_offset,8947
2022_05_27_abb07,2022_05_27,1,32,lick_02,9037
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,9037
2022_05_27_abb07,2022_05_27,1,14,sol_offset,9071
2022_05_27_abb07,2022_05_27,1,32,lick_02,9192
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,9192
2022_05_27_abb07,2022_05_27,1,14,sol_offset,9226
2022_05_27_abb07,2022_05_27,1,32,lick_02,10951
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,10951
2022_05_27_abb07,2022_05_27,1,14,sol_offset,10985
2022_05_27_abb07,2022_05_27,1,32,lick_02,11512
2022_05_27_abb07,2022_05_27,1,42,sol_onset_02,11512
2022_05_27_abb07,2022_05_27,1,14,sol_offset,11546
2022_05_27_abb07,2022_05_27,1,15,spout_retracted,11624
2022_05_27_abb07,2022_05_27,1,11,break_engaged,11625
2022_05_27_abb07,2022_05_27,1,15,spout_retracted,11825
2022_05_27_abb07,2022_05_27,1,130,radial_in_pos,12525
2022_05_27_abb07,2022_05_27,1,13,spout_extended,22960
2022_05_27_abb07,2022_05_27,1,33,lick_03,23112
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23112
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23137
2022_05_27_abb07,2022_05_27,1,33,lick_03,23221
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23221
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23246
2022_05_27_abb07,2022_05_27,1,33,lick_03,23360
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23360
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23385
2022_05_27_abb07,2022_05_27,1,33,lick_03,23473
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23473
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23498
2022_05_27_abb07,2022_05_27,1,33,lick_03,23601
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23601
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23626
2022_05_27_abb07,2022_05_27,1,33,lick_03,23732
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23732
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23757
2022_05_27_abb07,2022_05_27,1,33,lick_03,23856
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23856
2022_05_27_abb07,2022_05_27,1,14,sol_offset,23881
2022_05_27_abb07,2022_05_27,1,33,lick_03,23995
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,23995
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24020
2022_05_27_abb07,2022_05_27,1,33,lick_03,24127
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24127
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24152
2022_05_27_abb07,2022_05_27,1,33,lick_03,24262
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24262
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24287
2022_05_27_abb07,2022_05_27,1,33,lick_03,24390
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24390
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24415
2022_05_27_abb07,2022_05_27,1,33,lick_03,24529
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24529
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24554
2022_05_27_abb07,2022_05_27,1,33,lick_03,24673
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24673
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24698
2022_05_27_abb07,2022_05_27,1,33,lick_03,24804
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24804
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24829
2022_05_27_abb07,2022_05_27,1,33,lick_03,24944
2022_05_27_abb07,2022_05_27,1,43,sol_onset_03,24944
2022_05_27_abb07,2022_05_27,1,14,sol_offset,24969
2022_05_27_abb07,2022_05_27,1,33,lick_03,25083
