blockname,date,event_key,param_dynamic,param_ts,param_value
2022_05_05_abb01,2022_05_05,1,current_pos,0,4
2022_05_05_abb01,2022_05_05,1,current_pos,100,NA
2022_05_05_abb01,2022_05_05,1,current_pos,16560,2
2022_05_05_abb01,2022_05_05,1,current_pos,28494,0
2022_05_05_abb01,2022_05_05,1,current_pos,42885,4
2022_05_05_abb01,2022_05_05,1,current_pos,58032,1
2022_05_05_abb01,2022_05_05,1,current_pos,70338,3
2022_05_05_abb01,2022_05_05,1,current_pos,85737,0
2022_05_05_abb01,2022_05_05,1,current_pos,100525,2
2022_05_05_abb01,2022_05_05,1,current_pos,115700,1
2022_05_05_abb01,2022_05_05,1,current_pos,129538,3
2022_05_05_abb01,2022_05_05,1,current_pos,141395,0
2022_05_05_abb01,2022_05_05,1,current_pos,153626,0
2022_05_05_abb01,2022_05_05,1,current_pos,168509,4
2022_05_05_abb01,2022_05_05,1,current_pos,183652,3
2022_05_05_abb01,2022_05_05,1,current_pos,199301,1
2022_05_05_abb01,2022_05_05,1,current_pos,211739,1
2022_05_05_abb01,2022_05_05,1,current_pos,224093,3
2022_05_05_abb01,2022_05_05,1,current_pos,238422,2
2022_05_05_abb01,2022_05_05,1,current_pos,254053,4
2022_05_05_abb01,2022_05_05,1,current_pos,269084,2
2022_05_05_abb01,2022_05_05,1,current_pos,280765,4
2022_05_05_abb01,2022_05_05,1,current_pos,293423,4
2022_05_05_abb01,2022_05_05,1,current_pos,305175,3
2022_05_05_abb01,2022_05_05,1,current_pos,317729,0
2022_05_05_abb01,2022_05_05,1,current_pos,330656,2
2022_05_05_abb01,2022_05_05,1,current_pos,343633,0
2022_05_05_abb01,2022_05_05,1,current_pos,358544,1
2022_05_05_abb01,2022_05_05,1,current_pos,372927,3
2022_05_05_abb01,2022_05_05,1,current_pos,386018,1
2022_05_05_abb01,2022_05_05,1,current_pos,400503,2
2022_05_05_abb01,2022_05_05,1,current_pos,411916,1
2022_05_05_abb01,2022_05_05,1,current_pos,425447,2
2022_05_05_abb01,2022_05_05,1,current_pos,436957,2
2022_05_05_abb01,2022_05_05,1,current_pos,451944,0
2022_05_05_abb01,2022_05_05,1,current_pos,464683,4
2022_05_05_abb01,2022_05_05,1,current_pos,479967,3
2022_05_05_abb01,2022_05_05,1,current_pos,495067,0
2022_05_05_abb01,2022_05_05,1,current_pos,507318,1
2022_05_05_abb01,2022_05_05,1,current_pos,522921,4
2022_05_05_abb01,2022_05_05,1,current_pos,534793,3
2022_05_05_abb01,2022_05_05,1,current_pos,550697,0
2022_05_05_abb01,2022_05_05,1,current_pos,566047,2
2022_05_05_abb01,2022_05_05,1,current_pos,581148,4
2022_05_05_abb01,2022_05_05,1,current_pos,597084,3
2022_05_05_abb01,2022_05_05,1,current_pos,613053,3
2022_05_05_abb01,2022_05_05,1,current_pos,625250,0
2022_05_05_abb01,2022_05_05,1,current_pos,640758,1
2022_05_05_abb01,2022_05_05,1,current_pos,654823,1
2022_05_05_abb01,2022_05_05,1,current_pos,665847,4
2022_05_05_abb01,2022_05_05,1,current_pos,677632,2
2022_05_05_abb01,2022_05_05,1,current_pos,688711,2
2022_05_05_abb01,2022_05_05,1,current_pos,702050,3
2022_05_05_abb01,2022_05_05,1,current_pos,713335,4
2022_05_05_abb01,2022_05_05,1,current_pos,725090,1
2022_05_05_abb01,2022_05_05,1,current_pos,739978,0
2022_05_05_abb01,2022_05_05,1,current_pos,753963,4
2022_05_05_abb01,2022_05_05,1,current_pos,768508,3
2022_05_05_abb01,2022_05_05,1,current_pos,781532,1
2022_05_05_abb01,2022_05_05,1,current_pos,792560,0
2022_05_05_abb01,2022_05_05,1,current_pos,805311,2
2022_05_05_abb01,2022_05_05,1,current_pos,821100,0
2022_05_05_abb01,2022_05_05,1,current_pos,836049,2
