blockname,date,event_key,param_dynamic,param_ts,param_value
2022_04_20_abb03,2022_04_20,1,current_pos,0,2
2022_04_20_abb03,2022_04_20,1,current_pos,100,NA
2022_04_20_abb03,2022_04_20,1,current_pos,16139,0
2022_04_20_abb03,2022_04_20,1,current_pos,27326,1
2022_04_20_abb03,2022_04_20,1,current_pos,42439,0
2022_04_20_abb03,2022_04_20,1,current_pos,55259,3
2022_04_20_abb03,2022_04_20,1,current_pos,69423,3
2022_04_20_abb03,2022_04_20,1,current_pos,81005,4
2022_04_20_abb03,2022_04_20,1,current_pos,93161,4
2022_04_20_abb03,2022_04_20,1,current_pos,107995,1
2022_04_20_abb03,2022_04_20,1,current_pos,120359,2
2022_04_20_abb03,2022_04_20,1,current_pos,135030,3
2022_04_20_abb03,2022_04_20,1,current_pos,147589,4
2022_04_20_abb03,2022_04_20,1,current_pos,161624,0
2022_04_20_abb03,2022_04_20,1,current_pos,174232,1
2022_04_20_abb03,2022_04_20,1,current_pos,185755,3
2022_04_20_abb03,2022_04_20,1,current_pos,199232,4
2022_04_20_abb03,2022_04_20,1,current_pos,211371,2
2022_04_20_abb03,2022_04_20,1,current_pos,226012,2
2022_04_20_abb03,2022_04_20,1,current_pos,241457,1
2022_04_20_abb03,2022_04_20,1,current_pos,253616,0
2022_04_20_abb03,2022_04_20,1,current_pos,267461,4
2022_04_20_abb03,2022_04_20,1,current_pos,280856,3
2022_04_20_abb03,2022_04_20,1,current_pos,295396,2
2022_04_20_abb03,2022_04_20,1,current_pos,307117,1
2022_04_20_abb03,2022_04_20,1,current_pos,319514,1
2022_04_20_abb03,2022_04_20,1,current_pos,331105,0
2022_04_20_abb03,2022_04_20,1,current_pos,345511,4
2022_04_20_abb03,2022_04_20,1,current_pos,359244,0
2022_04_20_abb03,2022_04_20,1,current_pos,373795,3
2022_04_20_abb03,2022_04_20,1,current_pos,386480,2
2022_04_20_abb03,2022_04_20,1,current_pos,399182,1
2022_04_20_abb03,2022_04_20,1,current_pos,412715,3
2022_04_20_abb03,2022_04_20,1,current_pos,426689,2
2022_04_20_abb03,2022_04_20,1,current_pos,439786,3
2022_04_20_abb03,2022_04_20,1,current_pos,454724,0
2022_04_20_abb03,2022_04_20,1,current_pos,465871,1
2022_04_20_abb03,2022_04_20,1,current_pos,481719,0
2022_04_20_abb03,2022_04_20,1,current_pos,493327,4
2022_04_20_abb03,2022_04_20,1,current_pos,508777,2
2022_04_20_abb03,2022_04_20,1,current_pos,521853,4
2022_04_20_abb03,2022_04_20,1,current_pos,534941,3
2022_04_20_abb03,2022_04_20,1,current_pos,549390,0
2022_04_20_abb03,2022_04_20,1,current_pos,563416,3
2022_04_20_abb03,2022_04_20,1,current_pos,577468,0
2022_04_20_abb03,2022_04_20,1,current_pos,591369,2
2022_04_20_abb03,2022_04_20,1,current_pos,604405,4
2022_04_20_abb03,2022_04_20,1,current_pos,619679,1
2022_04_20_abb03,2022_04_20,1,current_pos,635352,4
2022_04_20_abb03,2022_04_20,1,current_pos,650045,1
2022_04_20_abb03,2022_04_20,1,current_pos,664895,2
2022_04_20_abb03,2022_04_20,1,current_pos,680551,0
2022_04_20_abb03,2022_04_20,1,current_pos,696180,4
2022_04_20_abb03,2022_04_20,1,current_pos,707653,4
2022_04_20_abb03,2022_04_20,1,current_pos,719284,2
2022_04_20_abb03,2022_04_20,1,current_pos,733987,3
2022_04_20_abb03,2022_04_20,1,current_pos,749615,0
2022_04_20_abb03,2022_04_20,1,current_pos,764691,1
2022_04_20_abb03,2022_04_20,1,current_pos,776991,1
2022_04_20_abb03,2022_04_20,1,current_pos,792371,2
2022_04_20_abb03,2022_04_20,1,current_pos,807473,3
2022_04_20_abb03,2022_04_20,1,current_pos,820554,3
2022_04_20_abb03,2022_04_20,1,current_pos,833277,4
2022_04_20_abb03,2022_04_20,1,current_pos,849275,1
2022_04_20_abb03,2022_04_20,1,current_pos,863613,0
2022_04_20_abb03,2022_04_20,1,current_pos,878743,1
2022_04_20_abb03,2022_04_20,1,current_pos,894461,0
2022_04_20_abb03,2022_04_20,1,current_pos,909205,4
2022_04_20_abb03,2022_04_20,1,current_pos,924819,2
2022_04_20_abb03,2022_04_20,1,current_pos,938658,2
2022_04_20_abb03,2022_04_20,1,current_pos,951693,3
2022_04_20_abb03,2022_04_20,1,current_pos,966912,3
2022_04_20_abb03,2022_04_20,1,current_pos,980844,4
2022_04_20_abb03,2022_04_20,1,current_pos,994196,2
2022_04_20_abb03,2022_04_20,1,current_pos,1010146,4
2022_04_20_abb03,2022_04_20,1,current_pos,1024576,1
2022_04_20_abb03,2022_04_20,1,current_pos,1037824,3
2022_04_20_abb03,2022_04_20,1,current_pos,1050052,0
2022_04_20_abb03,2022_04_20,1,current_pos,1061419,0
2022_04_20_abb03,2022_04_20,1,current_pos,1074455,1
2022_04_20_abb03,2022_04_20,1,current_pos,1087395,2
2022_04_20_abb03,2022_04_20,1,current_pos,1099643,2
2022_04_20_abb03,2022_04_20,1,current_pos,1112280,4
2022_04_20_abb03,2022_04_20,1,current_pos,1127138,2
2022_04_20_abb03,2022_04_20,1,current_pos,1139243,1
2022_04_20_abb03,2022_04_20,1,current_pos,1154870,3
2022_04_20_abb03,2022_04_20,1,current_pos,1167976,0
2022_04_20_abb03,2022_04_20,1,current_pos,1183976,3
2022_04_20_abb03,2022_04_20,1,current_pos,1197153,1
2022_04_20_abb03,2022_04_20,1,current_pos,1208331,0
2022_04_20_abb03,2022_04_20,1,current_pos,1221914,4
2022_04_20_abb03,2022_04_20,1,current_pos,1234152,4
2022_04_20_abb03,2022_04_20,1,current_pos,1246397,2
2022_04_20_abb03,2022_04_20,1,current_pos,1258375,3
2022_04_20_abb03,2022_04_20,1,current_pos,1270201,1
2022_04_20_abb03,2022_04_20,1,current_pos,1283355,1
2022_04_20_abb03,2022_04_20,1,current_pos,1296091,3
2022_04_20_abb03,2022_04_20,1,current_pos,1308286,0
2022_04_20_abb03,2022_04_20,1,current_pos,1319864,2
2022_04_20_abb03,2022_04_20,1,current_pos,1330967,4
2022_04_20_abb03,2022_04_20,1,current_pos,1345007,0
2022_04_20_abb03,2022_04_20,1,current_tone,NA,13000
