blockname,date,event_key,event_id,event_id_char,event_ts
2022_06_15_abb10,2022_06_15,1,14,sol_offset,23568
2022_06_15_abb10,2022_06_15,1,34,lick_04,23662
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,23662
2022_06_15_abb10,2022_06_15,1,14,sol_offset,23692
2022_06_15_abb10,2022_06_15,1,34,lick_04,23793
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,23793
2022_06_15_abb10,2022_06_15,1,14,sol_offset,23823
2022_06_15_abb10,2022_06_15,1,34,lick_04,23928
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,23928
2022_06_15_abb10,2022_06_15,1,14,sol_offset,23958
2022_06_15_abb10,2022_06_15,1,34,lick_04,24064
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24064
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24094
2022_06_15_abb10,2022_06_15,1,34,lick_04,24199
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24199
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24229
2022_06_15_abb10,2022_06_15,1,34,lick_04,24334
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24334
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24364
2022_06_15_abb10,2022_06_15,1,34,lick_04,24419
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24419
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24449
2022_06_15_abb10,2022_06_15,1,34,lick_04,24469
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24469
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24499
2022_06_15_abb10,2022_06_15,1,34,lick_04,24616
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24616
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24646
2022_06_15_abb10,2022_06_15,1,34,lick_04,24701
2022_06_15_abb10,2022_06_15,1,44,sol_onset_04,24701
2022_06_15_abb10,2022_06_15,1,14,sol_offset,24731
2022_06_15_abb10,2022_06_15,1,34,lick_04,24894
