blockname,date,event_key,event_id,event_id_char,event_ts
2022_06_16_abb12,2022_06_16,1,11,break_engaged,0
2022_06_16_abb12,2022_06_16,1,13,spout_extended,0
2022_06_16_abb12,2022_06_16,1,1,start_session,0
2022_06_16_abb12,2022_06_16,1,15,spout_retracted,0
2022_06_16_abb12,2022_06_16,1,13,spout_extended,9046
2022_06_16_abb12,2022_06_16,1,31,lick,9223
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9223
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9251
2022_06_16_abb12,2022_06_16,1,31,lick,9359
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9359
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9387
2022_06_16_abb12,2022_06_16,1,31,lick,9478
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9478
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9506
2022_06_16_abb12,2022_06_16,1,31,lick,9606
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9606
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9634
2022_06_16_abb12,2022_06_16,1,31,lick,9725
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9725
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9753
2022_06_16_abb12,2022_06_16,1,31,lick,9849
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9849
2022_06_16_abb12,2022_06_16,1,14,sol_offset,9877
2022_06_16_abb12,2022_06_16,1,31,lick,9977
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,9977
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10005
2022_06_16_abb12,2022_06_16,1,31,lick,10096
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10096
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10124
2022_06_16_abb12,2022_06_16,1,31,lick,10231
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10231
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10259
2022_06_16_abb12,2022_06_16,1,31,lick,10348
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10348
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10376
2022_06_16_abb12,2022_06_16,1,31,lick,10479
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10479
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10507
2022_06_16_abb12,2022_06_16,1,31,lick,10607
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10607
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10635
2022_06_16_abb12,2022_06_16,1,31,lick,10727
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10727
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10755
2022_06_16_abb12,2022_06_16,1,31,lick,10866
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10866
2022_06_16_abb12,2022_06_16,1,14,sol_offset,10894
2022_06_16_abb12,2022_06_16,1,31,lick,10974
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,10974
2022_06_16_abb12,2022_06_16,1,14,sol_offset,11002
2022_06_16_abb12,2022_06_16,1,31,lick,11098
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,11098
2022_06_16_abb12,2022_06_16,1,14,sol_offset,11126
2022_06_16_abb12,2022_06_16,1,31,lick,11230
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,11230
2022_06_16_abb12,2022_06_16,1,14,sol_offset,11258
2022_06_16_abb12,2022_06_16,1,31,lick,11344
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,11344
2022_06_16_abb12,2022_06_16,1,14,sol_offset,11372
2022_06_16_abb12,2022_06_16,1,31,lick,11472
2022_06_16_abb12,2022_06_16,1,41,sol_onset_01,11472
2022_06_16_abb12,2022_06_16,1,14,sol_offset,11500
2022_06_16_abb12,2022_06_16,1,31,lick,11592
